player_id,name,name_normalized,birth_date,nationality,position,foot,height_cm,weight_kg,source,source_id
sb_3500,Granit Xhaka,granit xhaka,,Switzerland,,,,,statsbomb,3500
sb_3533,Xherdan Shaqiri,xherdan shaqiri,,Switzerland,,,,,statsbomb,3533
sb_3913,Edimilson Fernandes,edimilson fernandes,,Switzerland,,,,,statsbomb,3913
sb_5537,Fabian Lukas Schär,fabian lukas schar,,Switzerland,,,,,statsbomb,5537
sb_5538,Denis Lemi Zakaria Lako Lado,denis lemi zakaria lako lado,,Switzerland,,,,,statsbomb,5538
sb_5543,Haris Seferović,haris seferovic,,Switzerland,,,,,statsbomb,5543
sb_5544,Ricardo Iván Rodríguez Araya,ricardo ivan rodriguez araya,,Switzerland,,,,,statsbomb,5544
sb_5545,Breel-Donald Embolo,breel-donald embolo,,Switzerland,,,,,statsbomb,5545
sb_5549,Manuel Obafemi Akanji,manuel obafemi akanji,,Switzerland,,,,,statsbomb,5549
sb_6983,Remo Freuler,remo freuler,,Switzerland,,,,,statsbomb,6983
sb_7796,Silvan Widmer,silvan widmer,,Switzerland,,,,,statsbomb,7796
sb_8561,Fabian Frei,fabian frei,,Switzerland,,,,,statsbomb,8561
sb_12326,Renato Steffen,renato steffen,,Switzerland,,,,,statsbomb,12326
sb_16016,Michel Aebischer,michel aebischer,,Switzerland,,,,,statsbomb,16016
sb_16022,Christian Fassnacht,christian fassnacht,,Switzerland,,,,,statsbomb,16022
sb_16026,Djibril Sow,djibril sow,,Switzerland,,,,,statsbomb,16026
sb_17974,Gregor Kobel,gregor kobel,,Switzerland,,,,,statsbomb,17974
sb_29003,Jonas Omlin,jonas omlin,,Switzerland,,,,,statsbomb,29003
sb_29006,Noah Okafor,noah okafor,,Switzerland,,,,,statsbomb,29006
sb_29012,Eray Ervin Cömert,eray ervin comert,,Switzerland,,,,,statsbomb,29012
sb_30401,Ruben Vargas,ruben vargas,,Switzerland,,,,,statsbomb,30401
sb_41655,Ardon Jashari,ardon jashari,,Switzerland,,,,,statsbomb,41655
sb_50436,Fabian Rieder,fabian rieder,,Switzerland,,,,,statsbomb,50436
sb_3512,Marko Grujić,marko grujic,,Serbia,,,,,statsbomb,3512
sb_3831,Dušan Tadić,dusan tadic,,Serbia,,,,,statsbomb,3831
sb_4269,Aleksandar Mitrović,aleksandar mitrovic,,Serbia,,,,,statsbomb,4269
sb_5589,Sergej Milinković-Savić,sergej milinkovic-savic,,Serbia,,,,,statsbomb,5589
sb_5591,Filip Kostić,filip kostic,,Serbia,,,,,statsbomb,5591
sb_5603,Nikola Milenković,nikola milenkovic,,Serbia,,,,,statsbomb,5603
sb_5833,Nemanja Radonjić,nemanja radonjic,,Serbia,,,,,statsbomb,5833
sb_6318,Andrija Živković,andrija zivkovic,,Serbia,,,,,statsbomb,6318
sb_6319,Luka Jović,luka jovic,,Serbia,,,,,statsbomb,6319
sb_6321,Milos Veljkovic,milos veljkovic,,Serbia,,,,,statsbomb,6321
sb_6687,Saša Lukić,sasa lukic,,Serbia,,,,,statsbomb,6687
sb_6698,Marko Dmitrović,marko dmitrovic,,Serbia,,,,,statsbomb,6698
