team_id,name,name_normalized,country,founded_year,stadium,source,source_id
sb_786,Serbia,serbia,Serbia,,,statsbomb,786
sb_773,Switzerland,switzerland,Switzerland,,,statsbomb,773
sb_779,Argentina,argentina,Argentina,,,statsbomb,779
sb_792,Australia,australia,Australia,,,statsbomb,792
sb_776,Denmark,denmark,Denmark,,,statsbomb,776
sb_781,Brazil,brazil,Brazil,,,statsbomb,781
sb_777,Tunisia,tunisia,Tunisia,,,statsbomb,777
sb_3565,Ecuador,ecuador,Ecuador,,,statsbomb,3565
sb_787,Senegal,senegal,Senegal,,,statsbomb,787
sb_941,Netherlands,netherlands,Netherlands,,,statsbomb,941
sb_783,Uruguay,uruguay,Uruguay,,,statsbomb,783
sb_791,South Korea,south korea,Korea (South),,,statsbomb,791
sb_788,Morocco,morocco,Morocco,,,statsbomb,788
sb_780,Portugal,portugal,Portugal,,,statsbomb,780
sb_771,France,france,France,,,statsbomb,771
sb_799,Saudi Arabia,saudi arabia,Saudi Arabia,,,statsbomb,799
sb_794,Mexico,mexico,Mexico,,,statsbomb,794
sb_789,Poland,poland,Poland,,,statsbomb,789
sb_3566,Qatar,qatar,Qatar,,,statsbomb,3566
sb_768,England,england,England,,,statsbomb,768
sb_785,Croatia,croatia,Croatia,,,statsbomb,785
sb_772,Spain,spain,Spain,,,statsbomb,772
sb_778,Japan,japan,Japan,,,statsbomb,778
sb_1839,United States,united states,United States of America,,,statsbomb,1839
sb_770,Germany,germany,Germany,,,statsbomb,770
sb_2722,Cameroon,cameroon,Cameroon,,,statsbomb,2722
sb_795,Costa Rica,costa rica,Costa Rica,,,statsbomb,795
sb_782,Belgium,belgium,Belgium,,,statsbomb,782
sb_907,Wales,wales,Wales,,,statsbomb,907
sb_4885,Ghana,ghana,Ghana,,,statsbomb,4885
sb_1833,Canada,canada,Canada,,,statsbomb,1833
sb_797,Iran,iran,"Iran, Islamic Republic of",,,statsbomb,797
